No	発売日	タイトル	メーカー	価格
204	1992/12/18	戦え原始人２　ルーキーの大冒険	データイースト	8000
205	1992/12/18	タイニー・トゥーン アドベンチャーズ	コナミ	8000
206	1992/12/18	重装機兵ヴァルケン	日本コンピュータシステム	8800
207	1992/12/18	スーパー・スター・ウォーズ	ビクターエンタテインメント	8800
208	1992/12/18	スーパーテトリス２+ボンブリス	BPS	8500
209	1992/12/18	中嶋悟監修 ＳＵＰＥＲ Ｆ１ ＨＥＲＯ	バリエ	8900
210	1992/12/18	ＳＤガンダム外伝２ 円卓の騎士	ユタカ	9500
211	1992/12/18	フライング ヒーロー  ぶぎゅるーの大冒険	ソフエル	8800
212	1992/12/18	ステルス	ヘクト	9700
213	1992/12/18	スーパー大相撲熱戦大一番	ナムコ	8800
214	1992/12/18	アメージングテニス	パック・イン・ビデオ	8800
215	1992/12/18	ナグザットスーパーピンボール 邪鬼破壊	ナグザット	8500
216	1992/12/18	スーパーニチブツマージャン(03)	日本物産	8800
217	1992/12/19	半熟英雄  ああ、世界よ半熟なれ	スクウェア	9500
218	1992/12/21	４６億年物語  はるかなるエデンへ	ゲームプラン21	9600
219	1992/12/22	ＬＯＯＮＥＹ ＴＵＮＥＳ ロードランナーＶＳワイリーコヨーテ	サンソフト	8600
220	1992/12/22	ラッシング・ビート乱 複製都市	ジャレコ	9600
221	1992/12/22	少年アシベ  ゴマちゃんのゆうえんち大冒険	タカラ	7800
222	1992/12/22	奇々怪界 謎の黒マント	ナツメ	8500
223	1992/12/23	コンバットライブス	テクノスジャパン	9300
224	1992/12/25	らんま１／２ 爆烈乱闘篇	日本コンピュータシステム	9600
225	1992/12/25	テクモスーパーＮＢＡバスケットボール	テクモ	8900
226	1992/12/25	スーパーファイヤープロレスリング２	ヒューマン	8500
227	1992/12/25	スーパーバレーⅡ	ビデオシステム	8900
228	1992/12/25	ＳＵＰＥＲ ＫＩＣＫ ＯＦＦ　（スーパーキックオフ）	ミサワエンターテインメント	7700
229	1992/12/25	哭きの竜  麻雀飛翔伝 	アイ・ジー・エス	9800
230	1992/12/25	大爆笑 人生劇場	タイトー	8500
231	1992/12/28	史上最強のクイズ王決定戦ＳＵＰＥＲ	ヨネザワ	8900
232	1992/12/28	ＴＨＥ ＫＩＮＧ ＯＦ ＲＡＬＬＹ パリ・モスクワ・ペキン	メルダック	8800
233	1993/1/3	エルファリア	ハドソン	9500
234	1993/1/8	エイリアンVSプレデター	アイ・ジー・エス	9800
235	1993/1/14	ＢＵＲＡＩ八玉の勇士伝説　（ブライ）	アイ・ジー・エス	9800
236	1993/1/16	ヨーロッパ戦線	光栄	12800
237	1993/1/22	負けるな！魔剣道	データム・ポリスター	8800
238	1993/1/22	マイト・アンド・マジックＢＯＯＫ２	ロジーク	8800
239	1993/1/22	ポピュラス２	イマジニア	9800
240	1993/1/22	ドラゴンズ・アース	ヒューマン	8500
241	1993/1/25	うしおととら	ユタカ	8800
242	1993/1/29	スーパービックリマン	ベック	7800
243	1993/1/29	クリスティーワールド	アクレイム ジャパン	8000
244	1993/1/29	Ｑ＊ｂｅｒｔ３	バップ	7000
245	1993/1/29	スーパー倉庫番	パック・イン・ビデオ	7800
246	1993/1/29	信長公記	やのまん	12500
247	1993/1/29	ナムコットオープン	ナムコ	8800
248	1993/1/29	ワールドクラスラグビー	ミサワエンターテインメント	7900
249	1993/2/5	ゲゲゲの鬼太郎　復活！！天魔大王	バンダイ	8800
250	1993/2/12	プロフットボール’９３	EAV	8900
251	1993/2/19	ドラえもん のび太と妖精の国	エポック社	8000
252	1993/2/19	ウォーリーをさがせ！ 絵本の国の大冒険	トミー	9500
253	1993/2/19	鋼鉄の騎士	アスミック	9800
254	1993/2/19	喜国雅彦の雀闘士 銅鑼王	POW	8900
255	1993/2/21	スターフォックス	任天堂	9800
256	1993/2/26	バートの不思議な夢の大冒険	アクレイム ジャパン	8800
257	1993/2/26	バットマンリターンズ	コナミ	8800
258	1993/2/26	コズモギャング ザ パズル	ナムコ	7900
259	1993/2/26	Ｆ－１ ＧＲＡＮＤ ＰＲＩＸ ＰＡＲＴⅡ	ビデオシステム	9800
260	1993/2/26	Ｘａｋ (サーク)	サンソフト	9600
261	1993/2/26	シムアント	イマジニア	12800
262	1993/2/26	織田信長 覇王の軍団	エンジェル	9500
263	1993/2/26	リーディングカンパニー	光栄	12800
264	1993/2/26	バトルテック	ビクターエンタテインメント	9800
265	1993/2/26	ＮＢＡプロバスケットボールブルズＶＳブレイザーズ	EAV	8900
266	1993/3/5	イーハトーヴォ物語	ヘクト	9700
267	1993/3/5	エキゾースト・ヒート Ｆ１ドライバーへの軌跡	セタ	9800
268	1993/3/5	ジョジョの奇妙な冒険	コブラチーム	9500
269	1993/3/5	アルバートオデッセイ	サンソフト	9600
270	1993/3/5	ＭＥＴＡＬ ＭＡＸ２	データイースト	9500
271	1993/3/5	スーパーキックボクシング	エレクトロ・ブレイン・ジャパン	8800
272	1993/3/5	デビルズコース	T&Eソフト	9800
273	1993/3/5	モノポリー	トミー	9700
274	1993/3/12	カリフォルニアゲームズⅡ	ヘクト	8800
275	1993/3/12	EDONO牙 (エドノキバ)	マイクロワールド	8900
276	1993/3/12	伝説のオウガバトル	クエスト	9600
277	1993/3/12	２０２０年スーパーベースボール	ケイ・アミューズメントリース	8900
278	1993/3/12	スーパーファミスタ２	ナムコ	7900
279	1993/3/19	ナイジェル・マンセル Ｆ１チャレンジ	インフォコム	8800
280	1993/3/19	超魔界大戦！　どらぼっちゃん	ナグザット	8800
281	1993/3/19	ジャングルウォーズ２  古代魔法アティモスの謎	ポニーキャニオン	9500
